"variable","freq_coefficient","freq_relativity","freq_lower95","freq_upper95"
"(Intercept)",-2.0192,0.1328,0.1144,0.154
"agecat1",0.2312,1.2601,1.1352,1.3969
"agecat2",0.0566,1.0582,0.9725,1.1512
"agecat4",-0.0259,0.9744,0.8988,1.0564
"agecat5",-0.2444,0.7832,0.7111,0.8619
"agecat6",-0.2186,0.8036,0.7148,0.9015
"genderM",-0.0305,0.97,0.9142,1.029
"areaA",-0.0065,0.9935,0.9203,1.0723
"areaB",0.0484,1.0496,0.9691,1.1365
"areaD",-0.1175,0.8891,0.8034,0.9824
"areaE",-0.0408,0.96,0.8586,1.071
"areaF",0.0482,1.0494,0.9223,1.1901
"veh_age1",0.0077,1.0077,0.9133,1.1115
"veh_age2",0.0782,1.0813,0.9976,1.172
"veh_age4",-0.0086,0.9914,0.9078,1.0824
"veh_bodyBUS",0.9173,2.5025,1.2503,4.4077
"veh_bodyCONVT",-0.8236,0.4388,0.1083,1.1549
"veh_bodyCOUPE",0.3824,1.4659,1.1496,1.8398
"veh_bodyHBACK",-0.0321,0.9684,0.8972,1.0451
"veh_bodyHDTOP",0.0511,1.0524,0.8744,1.2565
"veh_bodyMCARA",0.4809,1.6175,0.9236,2.6071
"veh_bodyMIBUS",-0.1157,0.8907,0.6496,1.1891
"veh_bodyPANVN",0.0596,1.0614,0.8234,1.344
"veh_bodyRDSTR",0.2903,1.3368,0.3313,3.4894
"veh_bodySTNWG",-0.0337,0.9668,0.8821,1.0596
"veh_bodyTRUCK",-0.0557,0.9458,0.7819,1.1346
"veh_bodyUTE",-0.2138,0.8075,0.7048,0.9221
"log_veh_value",0.2157,1.2407,1.0799,1.4236
