"variable","sev_coefficient","sev_relativity","sev_lower95","sev_upper95"
"(Intercept)",7.411,1654.09,1270.5341,2156.3435
"agecat1",0.2764,1.3184,1.0992,1.5876
"agecat2",0.1004,1.1057,0.9516,1.2855
"agecat4",0.0156,1.0157,0.8788,1.1739
"agecat5",-0.1039,0.9013,0.7615,1.0696
"agecat6",-0.0211,0.9791,0.7989,1.208
"genderM",0.1718,1.1875,1.0673,1.3218
"areaA",-0.0641,0.938,0.8188,1.0754
"areaB",-0.1047,0.9006,0.7824,1.038
"areaD",-0.0816,0.9217,0.7731,1.1042
"areaE",0.0875,1.0914,0.9008,1.3316
"areaF",0.3301,1.3911,1.1093,1.7611
"veh_age1",-0.1116,0.8944,0.7561,1.0594
"veh_age2",-0.0299,0.9706,0.8407,1.1206
"veh_age4",0.0849,1.0886,0.9325,1.2719
"veh_bodyBUS",-0.4066,0.6659,0.2566,2.6375
"veh_bodyCONVT",0.2708,1.3111,0.2885,22.1865
"veh_bodyCOUPE",0.3356,1.3988,0.938,2.1954
"veh_bodyHBACK",0.1277,1.1362,0.9925,1.3012
"veh_bodyHDTOP",0.0206,1.0208,0.7517,1.4211
"veh_bodyMCARA",-1.0988,0.3333,0.149,0.9685
"veh_bodyMIBUS",0.3244,1.3832,0.8462,2.4545
"veh_bodyPANVN",0.1033,1.1088,0.7336,1.7745
"veh_bodyRDSTR",-0.9341,0.3929,0.0703,17.4478
"veh_bodySTNWG",-0.0251,0.9752,0.8274,1.1499
"veh_bodyTRUCK",0.1888,1.2078,0.8803,1.7026
"veh_bodyUTE",0.0631,1.0651,0.8421,1.3614
"log_veh_value",0.0469,1.048,0.8226,1.3399
